AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Cercle Brugge,1.0,,Standard,1.0,,D,12,3,12,3
Roeselare,1.0,,Genk,1.0,,D,8,1,8,1
Standard,2.0,,Kortrijk,0.0,,A,5,6,5,6
Charleroi,1.0,,Lokeren,4.0,,H,7,4,7,4
Gent,1.0,,Waregem,3.0,,H,9,6,9,6
St Truiden,0.0,,Westerlo,2.0,,H,5,3,5,3
Germinal,0.0,,Anderlecht,1.0,,H,15,3,15,3
Mechelen,0.0,,Cercle Brugge,1.0,,H,6,5,6,5
Kortrijk,3.0,,Charleroi,3.0,,D,7,3,7,3
Westerlo,1.0,,Germinal,3.0,,H,6,3,6,3
Lokeren,0.0,,Mechelen,2.0,,H,6,4,6,4
Cercle Brugge,2.0,,Roeselare,3.0,,H,4,3,4,3
Waregem,2.0,,St Truiden,1.0,,A,5,6,5,6
Anderlecht,2.0,,Club Brugge,4.0,,H,21,12,21,12
Genk,0.0,,Standard,1.0,,H,12,7,12,7
Charleroi,0.0,,Anderlecht,2.0,,H,15,4,15,4
Roeselare,0.0,,Kortrijk,2.0,,H,5,1,5,1
Cercle Brugge,1.0,,Lokeren,1.0,,D,7,3,7,3
Germinal,0.0,,Waregem,4.0,,H,9,3,9,3
Standard,0.0,,Westerlo,2.0,,H,5,6,5,6
Gent,0.0,,Club Brugge,1.0,,H,21,6,21,6
Mechelen,2.0,,Genk,1.0,,A,8,5,8,5
Genk,2.0,,Lokeren,0.0,,A,7,7,7,7
Kortrijk,1.0,,Cercle Brugge,1.0,,D,6,3,6,3
Westerlo,1.0,,Charleroi,1.0,,D,7,3,7,3
Gent,2.0,,St Truiden,1.0,,A,5,6,5,6
Waregem,1.0,,Standard,1.0,,D,12,6,12,6
Anderlecht,2.0,,Mechelen,0.0,,A,6,12,6,12
Club Brugge,3.0,,Roeselare,2.0,,A,4,6,4,6
Lokeren,0.0,,Anderlecht,2.0,,H,15,4,15,4
St Truiden,0.0,,Club Brugge,1.0,,H,21,3,21,3
Mechelen,0.0,,Kortrijk,2.0,,H,5,5,5,5
Charleroi,2.0,,Waregem,2.0,,D,9,4,9,4
Roeselare,2.0,,Westerlo,2.0,,D,5,1,5,1
Germinal,1.0,,Gent,0.0,,A,12,3,12,3
Cercle Brugge,0.0,,Genk,2.0,,H,8,3,8,3
Gent,2.0,,Charleroi,0.0,,A,7,6,7,6
Westerlo,1.0,,Cercle Brugge,2.0,,H,6,3,6,3
St Truiden,1.0,,Germinal,4.0,,H,6,3,6,3
Kortrijk,0.0,,Lokeren,0.0,,D,7,3,7,3
Waregem,0.0,,Roeselare,2.0,,H,4,6,4,6
Anderlecht,2.0,,Genk,0.0,,A,8,12,8,12
Club Brugge,1.0,,Standard,3.0,,H,12,6,12,6
Roeselare,1.0,,Anderlecht,3.0,,H,15,1,15,1
Germinal,2.0,,Club Brugge,1.0,,A,21,3,21,3
Standard,1.0,,Gent,2.0,,H,12,6,12,6
Cercle Brugge,1.0,,St Truiden,1.0,,D,5,3,5,3
Lokeren,0.0,,Westerlo,1.0,,H,5,4,5,4
Genk,1.0,,Kortrijk,2.0,,H,5,7,5,7
Mechelen,1.0,,Waregem,4.0,,H,9,5,9,5
Kortrijk,0.0,,Anderlecht,1.0,,H,15,3,15,3
Charleroi,0.0,,Club Brugge,1.0,,H,21,4,21,4
Cercle Brugge,1.0,,Gent,3.0,,H,12,3,12,3
Roeselare,0.0,,Germinal,3.0,,H,6,1,6,1
Mechelen,0.0,,Westerlo,2.0,,H,5,5,5,5
Standard,0.0,,St Truiden,2.0,,H,5,6,5,6
Lokeren,0.0,,Waregem,1.0,,H,9,4,9,4
Gent,5.0,,Mechelen,2.0,,A,6,6,6,6
St Truiden,0.0,,Charleroi,0.0,,D,7,3,7,3
Westerlo,0.0,,Genk,0.0,,D,8,3,8,3
Waregem,0.0,,Kortrijk,1.0,,H,5,6,5,6
Germinal,2.0,,Standard,2.0,,D,12,3,12,3
Anderlecht,3.0,,Cercle Brugge,1.0,,A,6,12,6,12
Club Brugge,1.0,,Lokeren,0.0,,A,7,6,7,6
Anderlecht,2.0,,Westerlo,0.0,,A,5,12,5,12
Mechelen,1.0,,Club Brugge,1.0,,D,21,5,21,5
Charleroi,0.0,,Germinal,0.0,,D,6,4,6,4
Kortrijk,2.0,,St Truiden,0.0,,A,5,3,5,3
Roeselare,1.0,,Standard,0.0,,A,12,1,12,1
Genk,1.0,,Gent,2.0,,H,12,7,12,7
Cercle Brugge,0.0,,Waregem,1.0,,H,9,3,9,3
Waregem,2.0,,Genk,2.0,,D,8,6,8,6
Westerlo,1.0,,Kortrijk,1.0,,D,5,3,5,3
Gent,1.0,,Lokeren,0.0,,A,7,6,7,6
St Truiden,2.0,,Roeselare,1.0,,A,4,3,4,3
Roeselare,0.0,,Charleroi,3.0,,H,7,1,7,1
Cercle Brugge,1.0,,Club Brugge,2.0,,H,21,3,21,3
Genk,0.0,,Germinal,1.0,,H,6,7,6,7
Mechelen,2.0,,St Truiden,5.0,,H,5,5,5,5
Lokeren,0.0,,Standard,2.0,,H,12,4,12,4
Anderlecht,2.0,,Gent,2.0,,D,12,12,12,12
Westerlo,0.0,,Waregem,1.0,,H,9,3,9,3
Standard,0.0,,Cercle Brugge,2.0,,H,6,6,6,6
St Truiden,0.0,,Genk,0.0,,D,8,3,8,3
Waregem,1.0,,Anderlecht,2.0,,H,15,6,15,6
Club Brugge,4.0,,Kortrijk,1.0,,A,5,6,5,6
Germinal,0.0,,Lokeren,2.0,,H,7,3,7,3
Charleroi,0.0,,Mechelen,1.0,,H,6,4,6,4
Gent,4.0,,Roeselare,0.0,,A,4,6,4,6
Kortrijk,2.0,,Gent,2.0,,D,12,3,12,3
Genk,3.0,,Charleroi,1.0,,A,7,7,7,7
Mechelen,2.0,,Roeselare,1.0,,A,4,5,4,5
Lokeren,1.0,,St Truiden,2.0,,H,5,4,5,4
Cercle Brugge,4.0,,Germinal,1.0,,A,6,3,6,3
Anderlecht,4.0,,Standard,0.0,,A,12,12,12,12
Germinal,0.0,,Kortrijk,3.0,,H,5,3,5,3
Roeselare,4.0,,Lokeren,1.0,,A,7,1,7,1
St Truiden,0.0,,Waregem,2.0,,H,9,3,9,3
Gent,0.0,,Westerlo,0.0,,D,5,6,5,6
Club Brugge,0.0,,Genk,2.0,,H,8,6,8,6
Standard,0.0,,Mechelen,0.0,,D,6,6,6,6
Anderlecht,5.0,,Germinal,0.0,,A,6,12,6,12
Westerlo,1.0,,Club Brugge,2.0,,H,21,3,21,3
Cercle Brugge,2.0,,Mechelen,1.0,,A,6,3,6,3
Waregem,2.0,,Gent,0.0,,A,12,6,12,6
Kortrijk,1.0,,Standard,3.0,,H,12,3,12,3
Germinal,0.0,,Mechelen,1.0,,H,6,3,6,3
Club Brugge,2.0,,Anderlecht,3.0,,H,15,6,15,6
Westerlo,1.0,,St Truiden,0.0,,A,5,3,5,3
Standard,3.0,,Charleroi,2.0,,A,7,6,7,6
St Truiden,2.0,,Anderlecht,1.0,,A,15,3,15,3
Roeselare,0.0,,Cercle Brugge,2.0,,H,6,1,6,1
Mechelen,1.0,,Lokeren,2.0,,H,7,5,7,5
Germinal,1.0,,Westerlo,1.0,,D,5,3,5,3
Standard,0.0,,Genk,1.0,,H,8,6,8,6
Charleroi,1.0,,Kortrijk,2.0,,H,5,4,5,4
Club Brugge,1.0,,Waregem,1.0,,D,9,6,9,6
Kortrijk,2.0,,Roeselare,0.0,,A,4,3,4,3
Club Brugge,1.0,,Gent,1.0,,D,12,6,12,6
Westerlo,0.0,,Standard,1.0,,H,12,3,12,3
Lokeren,1.0,,Genk,3.0,,H,8,4,8,4
St Truiden,1.0,,Gent,0.0,,A,12,3,12,3
Cercle Brugge,1.0,,Kortrijk,3.0,,H,5,3,5,3
Roeselare,1.0,,Waregem,1.0,,D,9,1,9,1
Charleroi,0.0,,Westerlo,4.0,,H,5,4,5,4
Mechelen,0.0,,Anderlecht,2.0,,H,15,5,15,5
Standard,1.0,,Club Brugge,2.0,,H,21,6,21,6
Charleroi,0.0,,Cercle Brugge,1.0,,H,6,4,6,4
Genk,1.0,,Roeselare,1.0,,D,4,7,4,7
Gent,1.0,,Germinal,1.0,,D,6,6,6,6
Genk,0.0,,Cercle Brugge,1.0,,H,6,7,6,7
Westerlo,0.0,,Lokeren,1.0,,H,7,3,7,3
Kortrijk,1.0,,Mechelen,1.0,,D,6,3,6,3
Waregem,0.0,,Charleroi,0.0,,D,7,6,7,6
Anderlecht,2.0,,Roeselare,1.0,,A,4,12,4,12
Club Brugge,1.0,,St Truiden,1.0,,D,5,6,5,6
Lokeren,0.0,,Cercle Brugge,4.0,,H,6,4,6,4
Anderlecht,2.0,,Charleroi,0.0,,A,7,12,7,12
Waregem,1.0,,Germinal,1.0,,D,6,6,6,6
Genk,1.0,,Mechelen,2.0,,H,6,7,6,7
Lokeren,1.0,,Charleroi,4.0,,H,7,4,7,4
Genk,0.0,,Anderlecht,2.0,,H,15,7,15,7
Roeselare,0.0,,Club Brugge,1.0,,H,21,1,21,1
Charleroi,1.0,,Gent,2.0,,H,12,4,12,4
Lokeren,1.0,,Kortrijk,3.0,,H,5,4,5,4
Germinal,0.0,,St Truiden,2.0,,H,5,3,5,3
Standard,1.0,,Waregem,1.0,,D,9,6,9,6
Cercle Brugge,1.0,,Westerlo,2.0,,H,5,3,5,3
St Truiden,1.0,,Cercle Brugge,3.0,,H,6,3,6,3
Kortrijk,1.0,,Genk,1.0,,D,8,3,8,3
Club Brugge,4.0,,Germinal,1.0,,A,6,6,6,6
Anderlecht,4.0,,Lokeren,0.0,,A,7,12,7,12
Waregem,1.0,,Mechelen,2.0,,H,6,6,6,6
Westerlo,0.0,,Roeselare,0.0,,D,4,3,4,3
Gent,2.0,,Standard,0.0,,A,12,6,12,6
Charleroi,0.0,,Standard,3.0,,H,12,4,12,4
Gent,0.0,,Cercle Brugge,0.0,,D,6,6,6,6
Oostende,0.0,,Lierse,2.0,,H,6,3,6,3
Club Brugge,2.0,,Waasland-Beveren,0.0,,A,3,6,3,6
Lokeren,0.0,,Westerlo,1.0,,H,5,4,5,4
Mouscron-Peruwelz,1.0,,Anderlecht,3.0,,H,15,2,15,2
Genk,1.0,,Mechelen,3.0,,H,6,7,6,7
Kortrijk,0.0,,Waregem,2.0,,H,9,3,9,3
Anderlecht,2.0,,Oostende,0.0,,A,5,12,5,12
Westerlo,3.0,,Charleroi,2.0,,A,7,3,7,3
Cercle Brugge,1.0,,Genk,1.0,,D,8,3,8,3
Standard,3.0,,Kortrijk,2.0,,A,5,6,5,6
Waasland-Beveren,0.0,,Mouscron-Peruwelz,1.0,,H,3,3,3,3
Lierse,0.0,,Club Brugge,1.0,,H,21,3,21,3
Mechelen,1.0,,Gent,3.0,,H,12,5,12,5
Waregem,1.0,,Lokeren,2.0,,H,7,6,7,6
Lokeren,0.0,,Genk,0.0,,D,8,4,8,4
Oostende,1.0,,Cercle Brugge,0.0,,A,6,3,6,3
Mouscron-Peruwelz,2.0,,Lierse,2.0,,D,6,2,6,2
Kortrijk,2.0,,Mechelen,1.0,,A,6,3,6,3
Westerlo,1.0,,Waasland-Beveren,1.0,,D,3,3,3,3
Charleroi,0.0,,Anderlecht,1.0,,H,15,4,15,4
Gent,1.0,,Standard,0.0,,A,12,6,12,6
Club Brugge,1.0,,Waregem,1.0,,D,9,6,9,6
Cercle Brugge,1.0,,Club Brugge,1.0,,D,21,3,21,3
Standard,2.0,,Mouscron-Peruwelz,5.0,,H,3,6,3,6
Waasland-Beveren,2.0,,Charleroi,2.0,,D,7,3,7,3
Genk,1.0,,Kortrijk,1.0,,D,5,7,5,7
Lierse,0.0,,Lokeren,2.0,,H,7,3,7,3
Mechelen,0.0,,Oostende,2.0,,H,5,5,5,5
Waregem,1.0,,Gent,3.0,,H,12,6,12,6
Anderlecht,2.0,,Westerlo,2.0,,D,5,12,5,12
Gent,2.0,,Genk,3.0,,H,8,6,8,6
Oostende,2.0,,Kortrijk,0.0,,A,5,3,5,3
Charleroi,2.0,,Lierse,0.0,,A,6,4,6,4
Westerlo,2.0,,Standard,2.0,,D,12,3,12,3
Mouscron-Peruwelz,1.0,,Waregem,1.0,,D,9,2,9,2
Waasland-Beveren,0.0,,Anderlecht,1.0,,H,15,3,15,3
Lokeren,0.0,,Cercle Brugge,1.0,,H,6,4,6,4
Club Brugge,1.0,,Mechelen,3.0,,H,6,6,6,6
Kortrijk,1.0,,Gent,0.0,,A,12,3,12,3
Cercle Brugge,0.0,,Mouscron-Peruwelz,4.0,,H,3,3,3,3
Genk,1.0,,Oostende,1.0,,D,5,7,5,7
Lierse,0.0,,Waasland-Beveren,2.0,,H,3,3,3,3
Waregem,2.0,,Westerlo,2.0,,D,5,6,5,6
Mechelen,0.0,,Charleroi,2.0,,H,7,5,7,5
Anderlecht,2.0,,Club Brugge,2.0,,D,21,12,21,12
Standard,1.0,,Lokeren,1.0,,D,7,6,7,6
Charleroi,0.0,,Cercle Brugge,1.0,,H,6,4,6,4
Anderlecht,2.0,,Lierse,2.0,,D,6,12,6,12
Westerlo,2.0,,Mechelen,5.0,,H,6,3,6,3
Oostende,5.0,,Standard,3.0,,A,12,3,12,3
Waasland-Beveren,4.0,,Waregem,1.0,,A,9,3,9,3
Club Brugge,1.0,,Genk,1.0,,D,8,6,8,6
Mouscron-Peruwelz,0.0,,Gent,1.0,,H,12,2,12,2
Lokeren,3.0,,Kortrijk,2.0,,A,5,4,5,4
Waregem,1.0,,Charleroi,2.0,,H,7,6,7,6
Cercle Brugge,2.0,,Anderlecht,3.0,,H,15,3,15,3
Genk,2.0,,Mouscron-Peruwelz,1.0,,A,3,7,3,7
Gent,3.0,,Oostende,1.0,,A,5,6,5,6
Lierse,1.0,,Westerlo,6.0,,H,5,3,5,3
Kortrijk,0.0,,Club Brugge,5.0,,H,21,3,21,3
Mechelen,2.0,,Lokeren,3.0,,H,7,5,7,5
Standard,2.0,,Waasland-Beveren,0.0,,A,3,6,3,6
Westerlo,2.0,,Cercle Brugge,1.0,,A,6,3,6,3
Charleroi,1.0,,Genk,1.0,,D,8,4,8,4
Mouscron-Peruwelz,0.0,,Kortrijk,3.0,,H,5,2,5,2
Waasland-Beveren,0.0,,Mechelen,2.0,,H,6,3,6,3
Anderlecht,2.0,,Waregem,0.0,,A,9,12,9,12
Lokeren,1.0,,Gent,1.0,,D,12,4,12,4
Club Brugge,2.0,,Oostende,2.0,,D,5,6,5,6
Lierse,2.0,,Standard,2.0,,D,12,3,12,3
Gent,0.0,,Westerlo,0.0,,D,5,6,5,6
Kortrijk,2.0,,Charleroi,0.0,,A,7,3,7,3
Waregem,1.0,,Lierse,3.0,,H,6,6,6,6
Mechelen,1.0,,Mouscron-Peruwelz,1.0,,D,3,5,3,5
Cercle Brugge,0.0,,Waasland-Beveren,1.0,,H,3,3,3,3
Genk,0.0,,Anderlecht,0.0,,D,15,7,15,7
Standard,0.0,,Club Brugge,3.0,,H,21,6,21,6
Oostende,1.0,,Lokeren,3.0,,H,7,3,7,3
Lierse,2.0,,Cercle Brugge,1.0,,A,6,3,6,3
Charleroi,2.0,,Gent,2.0,,D,12,4,12,4
Waasland-Beveren,1.0,,Kortrijk,2.0,,H,5,3,5,3
Anderlecht,1.0,,Mechelen,1.0,,D,6,12,6,12
Mouscron-Peruwelz,0.0,,Oostende,0.0,,D,5,2,5,2
Westerlo,1.0,,Genk,3.0,,H,8,3,8,3
Club Brugge,3.0,,Lokeren,1.0,,A,7,6,7,6
Waregem,2.0,,Standard,1.0,,A,12,6,12,6
Mechelen,1.0,,Lierse,0.0,,A,6,5,6,5
Oostende,0.0,,Charleroi,2.0,,H,7,3,7,3
Genk,1.0,,Waasland-Beveren,0.0,,A,3,7,3,7
Cercle Brugge,2.0,,Waregem,1.0,,A,9,3,9,3
Kortrijk,1.0,,Westerlo,2.0,,H,5,3,5,3
Standard,2.0,,Anderlecht,0.0,,A,15,6,15,6
Gent,2.0,,Club Brugge,2.0,,D,21,6,21,6
Lokeren,2.0,,Mouscron-Peruwelz,2.0,,D,3,4,3,4
Lierse,0.0,,Genk,3.0,,H,8,3,8,3
Waregem,1.0,,Mechelen,1.0,,D,6,6,6,6
Standard,1.0,,Cercle Brugge,0.0,,A,6,6,6,6
Waasland-Beveren,1.0,,Gent,4.0,,H,12,3,12,3
Anderlecht,3.0,,Kortrijk,2.0,,A,5,12,5,12
Charleroi,2.0,,Lokeren,5.0,,H,7,4,7,4
Westerlo,0.0,,Oostende,4.0,,H,5,3,5,3
Club Brugge,4.0,,Mouscron-Peruwelz,1.0,,A,3,6,3,6
Genk,0.0,,Waregem,2.0,,H,9,7,9,7
Lokeren,1.0,,Anderlecht,1.0,,D,15,4,15,4
Kortrijk,4.0,,Cercle Brugge,0.0,,A,6,3,6,3
Mechelen,0.0,,Standard,2.0,,H,12,5,12,5
Oostende,0.0,,Waasland-Beveren,1.0,,H,3,3,3,3
Club Brugge,0.0,,Charleroi,0.0,,D,7,6,7,6
Gent,1.0,,Lierse,0.0,,A,6,6,6,6
Mouscron-Peruwelz,3.0,,Westerlo,1.0,,A,5,2,5,2
Waregem,3.0,,Oostende,1.0,,A,5,6,5,6
Lierse,0.0,,Kortrijk,1.0,,H,5,3,5,3
Cercle Brugge,1.0,,Mechelen,1.0,,D,6,3,6,3
Charleroi,2.0,,Mouscron-Peruwelz,0.0,,A,3,4,3,4
Westerlo,0.0,,Club Brugge,5.0,,H,21,3,21,3
Standard,2.0,,Genk,0.0,,A,8,6,8,6
Anderlecht,2.0,,Gent,0.0,,A,12,12,12,12
Waasland-Beveren,0.0,,Lokeren,3.0,,H,7,3,7,3
Anderlecht,1.0,,Charleroi,3.0,,H,7,12,7,12
Waasland-Beveren,2.0,,Club Brugge,4.0,,H,21,3,21,3
Cercle Brugge,0.0,,Gent,4.0,,H,12,3,12,3
Westerlo,0.0,,Lokeren,0.0,,D,7,3,7,3
Lierse,1.0,,Mouscron-Peruwelz,2.0,,H,3,3,3,3
Mechelen,0.0,,Genk,3.0,,H,8,5,8,5
Waregem,1.0,,Kortrijk,3.0,,H,5,6,5,6
Standard,2.0,,Oostende,3.0,,H,5,6,5,6
Gent,1.0,,Waregem,2.0,,H,9,6,9,6
Genk,1.0,,Cercle Brugge,0.0,,A,6,7,6,7
Oostende,0.0,,Mechelen,0.0,,D,6,3,6,3
Mouscron-Peruwelz,1.0,,Waasland-Beveren,2.0,,H,3,2,3,2
Charleroi,3.0,,Westerlo,2.0,,A,5,4,5,4
Club Brugge,2.0,,Anderlecht,2.0,,D,15,6,15,6
Lokeren,1.0,,Lierse,1.0,,D,6,4,6,4
Kortrijk,2.0,,Standard,0.0,,A,12,3,12,3
Waasland-Beveren,2.0,,Westerlo,1.0,,A,5,3,5,3
Mechelen,0.0,,Kortrijk,3.0,,H,5,5,5,5
Cercle Brugge,0.0,,Lokeren,0.0,,D,7,3,7,3
Anderlecht,2.0,,Mouscron-Peruwelz,4.0,,H,3,12,3,12
Lierse,1.0,,Oostende,2.0,,H,5,3,5,3
Standard,1.0,,Charleroi,0.0,,A,7,6,7,6
Waregem,1.0,,Club Brugge,2.0,,H,21,6,21,6
Genk,0.0,,Gent,0.0,,D,12,7,12,7
Gent,0.0,,Mechelen,0.0,,D,6,6,6,6
Mouscron-Peruwelz,1.0,,Cercle Brugge,2.0,,H,6,2,6,2
Kortrijk,0.0,,Genk,3.0,,H,8,3,8,3
Westerlo,3.0,,Lierse,3.0,,D,6,3,6,3
Charleroi,3.0,,Waasland-Beveren,1.0,,A,3,4,3,4
Oostende,0.0,,Anderlecht,3.0,,H,15,3,15,3
Club Brugge,3.0,,Standard,1.0,,A,12,6,12,6
Lokeren,0.0,,Waregem,1.0,,H,9,4,9,4
Lierse,0.0,,Charleroi,6.0,,H,7,3,7,3
Waregem,1.0,,Mouscron-Peruwelz,0.0,,A,3,6,3,6
Cercle Brugge,0.0,,Oostende,2.0,,H,5,3,5,3
Anderlecht,2.0,,Waasland-Beveren,0.0,,A,3,12,3,12
Mechelen,1.0,,Westerlo,1.0,,D,5,5,5,5
Genk,1.0,,Club Brugge,4.0,,H,21,7,21,7
Standard,2.0,,Gent,1.0,,A,12,6,12,6
Kortrijk,2.0,,Lokeren,1.0,,A,7,3,7,3
Westerlo,0.0,,Anderlecht,4.0,,H,15,3,15,3
Gent,3.0,,Kortrijk,2.0,,A,5,6,5,6
Club Brugge,6.0,,Lierse,0.0,,A,6,6,6,6
Mouscron-Peruwelz,0.0,,Mechelen,1.0,,H,6,2,6,2
Charleroi,3.0,,Waregem,1.0,,A,9,4,9,4
Waasland-Beveren,0.0,,Cercle Brugge,1.0,,H,6,3,6,3
Lokeren,0.0,,Standard,2.0,,H,12,4,12,4
Mechelen,1.0,,Club Brugge,1.0,,D,21,5,21,5
Cercle Brugge,2.0,,Charleroi,0.0,,A,7,3,7,3
Gent,3.0,,Mouscron-Peruwelz,1.0,,A,3,6,3,6
Kortrijk,7.0,,Oostende,1.0,,A,5,3,5,3
Waregem,3.0,,Waasland-Beveren,1.0,,A,3,6,3,6
Lierse,0.0,,Anderlecht,3.0,,H,15,3,15,3
Genk,1.0,,Lokeren,1.0,,D,7,7,7,7
Standard,1.0,,Westerlo,1.0,,D,5,6,5,6
Mouscron-Peruwelz,0.0,,Genk,2.0,,H,8,2,8,2
Charleroi,0.0,,Kortrijk,0.0,,D,5,4,5,4
Waasland-Beveren,1.0,,Lierse,1.0,,D,6,3,6,3
Lokeren,1.0,,Mechelen,0.0,,A,6,4,6,4
Westerlo,3.0,,Waregem,1.0,,A,9,3,9,3
Club Brugge,3.0,,Cercle Brugge,0.0,,A,6,6,6,6
Oostende,1.0,,Gent,3.0,,H,12,3,12,3
Anderlecht,0.0,,Standard,2.0,,H,12,12,12,12
Oostende,0.0,,Club Brugge,2.0,,H,21,3,21,3
Genk,0.0,,Charleroi,1.0,,H,7,7,7,7
Kortrijk,3.0,,Mouscron-Peruwelz,0.0,,A,3,3,3,3
Mechelen,2.0,,Waasland-Beveren,2.0,,D,3,5,3,5
Cercle Brugge,0.0,,Westerlo,1.0,,H,5,3,5,3
Waregem,0.0,,Anderlecht,0.0,,D,15,6,15,6
Standard,3.0,,Lierse,2.0,,A,6,6,6,6
Gent,3.0,,Lokeren,3.0,,D,7,6,7,6
Oostende,1.0,,Genk,1.0,,D,8,3,8,3
Mouscron-Peruwelz,0.0,,Standard,3.0,,H,12,2,12,2
Westerlo,0.0,,Gent,4.0,,H,12,3,12,3
Charleroi,0.0,,Mechelen,0.0,,D,6,4,6,4
Lokeren,1.0,,Oostende,0.0,,A,5,4,5,4
Lierse,3.0,,Waregem,2.0,,A,9,3,9,3
Anderlecht,2.0,,Cercle Brugge,0.0,,A,6,12,6,12
Waasland-Beveren,0.0,,Genk,1.0,,H,8,3,8,3
Club Brugge,0.0,,Kortrijk,2.0,,H,5,6,5,6
Genk,2.0,,Westerlo,1.0,,A,5,7,5,7
Cercle Brugge,1.0,,Lierse,2.0,,H,6,3,6,3
Oostende,1.0,,Mouscron-Peruwelz,0.0,,A,3,3,3,3
Kortrijk,0.0,,Waasland-Beveren,1.0,,H,3,3,3,3
Standard,1.0,,Waregem,1.0,,D,9,6,9,6
Mechelen,1.0,,Anderlecht,1.0,,D,15,5,15,5
Gent,0.0,,Charleroi,0.0,,D,7,6,7,6
Lokeren,1.0,,Club Brugge,1.0,,D,21,4,21,4
Waasland-Beveren,2.0,,Standard,3.0,,H,12,3,12,3
Waregem,2.0,,Cercle Brugge,2.0,,D,6,6,6,6
Westerlo,0.0,,Kortrijk,6.0,,H,5,3,5,3
Mouscron-Peruwelz,0.0,,Lokeren,1.0,,H,7,2,7,2
Charleroi,3.0,,Oostende,1.0,,A,5,4,5,4
Anderlecht,1.0,,Genk,0.0,,A,8,12,8,12
Club Brugge,1.0,,Gent,2.0,,H,12,6,12,6
Lierse,1.0,,Mechelen,2.0,,H,6,3,6,3
Cercle Brugge,0.0,,Standard,1.0,,H,12,3,12,3
Lokeren,0.0,,Charleroi,1.0,,H,7,4,7,4
Genk,2.0,,Lierse,0.0,,A,6,7,6,7
Mechelen,3.0,,Waregem,2.0,,A,9,5,9,5
Oostende,0.0,,Westerlo,3.0,,H,5,3,5,3
Kortrijk,0.0,,Anderlecht,2.0,,H,15,3,15,3
Mouscron-Peruwelz,0.0,,Club Brugge,3.0,,H,21,2,21,2
Gent,1.0,,Waasland-Beveren,0.0,,A,3,6,3,6
Charleroi,0.0,,Club Brugge,1.0,,H,21,4,21,4
Waregem,2.0,,Genk,3.0,,H,8,6,8,6
Lierse,1.0,,Gent,2.0,,H,12,3,12,3
Cercle Brugge,0.0,,Kortrijk,1.0,,H,5,3,5,3
Anderlecht,2.0,,Lokeren,1.0,,A,7,12,7,12
Standard,0.0,,Mechelen,1.0,,H,6,6,6,6
Westerlo,0.0,,Mouscron-Peruwelz,1.0,,H,3,3,3,3
Waasland-Beveren,3.0,,Oostende,4.0,,H,5,3,5,3
Gent,2.0,,Anderlecht,1.0,,A,15,6,15,6
Mechelen,3.0,,Cercle Brugge,2.0,,A,6,5,6,5
Mouscron-Peruwelz,0.0,,Charleroi,2.0,,H,7,2,7,2
Kortrijk,0.0,,Lierse,0.0,,D,6,3,6,3
Genk,0.0,,Standard,1.0,,H,12,7,12,7
Lokeren,0.0,,Waasland-Beveren,0.0,,D,3,4,3,4
Oostende,4.0,,Waregem,1.0,,A,9,3,9,3
Club Brugge,3.0,,Westerlo,1.0,,A,5,6,5,6
Club Brugge,2.0,,Mechelen,0.0,,A,6,6,6,6
Waasland-Beveren,0.0,,Charleroi,1.0,,H,7,3,7,3
Anderlecht,2.0,,Mouscron,1.0,,A,9,12,9,12
Lokeren,0.0,,St Truiden,1.0,,H,5,4,5,4
Eupen,0.0,,Waregem,3.0,,H,9,4,9,4
Oostende,1.0,,Genk,2.0,,H,8,3,8,3
Gent,1.0,,Kortrijk,1.0,,D,5,6,5,6
Standard,2.0,,Westerlo,2.0,,D,5,6,5,6
Club Brugge,0.0,,Oostende,1.0,,H,5,6,5,6
Mechelen,2.0,,Eupen,0.0,,A,2,5,2,5
Charleroi,1.0,,Mouscron,0.0,,A,9,4,9,4
St Truiden,0.0,,Standard,2.0,,H,12,3,12,3
Waregem,2.0,,Waasland-Beveren,0.0,,A,3,6,3,6
Kortrijk,1.0,,Anderlecht,5.0,,H,15,3,15,3
Genk,0.0,,Gent,1.0,,H,12,7,12,7
Westerlo,0.0,,Lokeren,3.0,,H,7,3,7,3
Anderlecht,0.0,,St Truiden,0.0,,D,5,12,5,12
Gent,1.0,,Charleroi,1.0,,D,7,6,7,6
Waasland-Beveren,2.0,,Genk,2.0,,D,8,3,8,3
Kortrijk,0.0,,Mechelen,0.0,,D,6,3,6,3
Eupen,2.0,,Westerlo,1.0,,A,5,4,5,4
Lokeren,0.0,,Club Brugge,1.0,,H,21,4,21,4
Mouscron,1.0,,Oostende,2.0,,H,5,2,5,2
Standard,0.0,,Waregem,1.0,,H,9,6,9,6
Charleroi,0.0,,Standard,0.0,,D,12,4,12,4
Club Brugge,1.0,,Kortrijk,2.0,,H,5,6,5,6
St Truiden,1.0,,Mouscron,2.0,,H,9,3,9,3
Mechelen,2.0,,Waasland-Beveren,2.0,,D,3,5,3,5
Oostende,1.0,,Waregem,1.0,,D,9,3,9,3
Anderlecht,2.0,,Eupen,2.0,,D,2,12,2,12
Westerlo,2.0,,Gent,4.0,,H,12,3,12,3
Genk,3.0,,Lokeren,0.0,,A,7,7,7,7
Eupen,2.0,,Charleroi,3.0,,H,7,4,7,4
